0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng
AAA|AAA|Анаа|Анаа|Anaa|Anaa|Анаа|Анаа|Anaa|Anaa
AAB|AAB|||Arrabury|Arrabury|||Arrabury|Arrabury
AAC|AAC|||Al Arish International Airport|Al Arish International Airport|Аль-Ариш|Аль-Ариш|Al Arish|Al Arish
AAD|AAD|||Ad-Dabbah|Ad-Dabbah|||Ad-Dabbah|Ad-Dabbah
AAE|AAE|||Les Salines|Les Salines|||Annaba|Annaba
AAF|AAF|||Municipal|Municipal|||Apalachicola|Apalachicola
AAG|AAG|||Arapoti|Arapoti|||Arapoti|Arapoti
AAH|AAH|||Aachen/Merzbruck|Aachen/Merzbruck|Аахен|Аахен|Aachen|Aachen
AAI|AAI|||Arraias|Arraias|||Arraias|Arraias
AAJ|AAJ|||Cayana Airstrip|Cayana Airstrip|Аварадам|Аварадам|Awaradam|Awaradam
AAK|AAK|Аранука|Аранука|Aranuka|Aranuka|Аранука|Аранука|Aranuka|Aranuka
AAL|AAL|Аальборг|Аальборг|Aalborg|Aalborg|Аальбург|Аальбург|Aalborg|Aalborg
AAM|AAM|Мала-Мала|Мала-Мала|Mala Mala|Mala Mala|Мала-Мала|Мала-Мала|Mala Mala|Mala Mala
AAN|AAN|Эль-Аин|Эль-Аин|Al Ain|Al Ain|Аль-Айн|Аль-Айн|Al Ain|Al Ain
AAO|AAO|Анако|Анако|Anaco|Anaco|Анако|Анако|Anaco|Anaco
AAP|AAP|||Andrau Airpark|Andrau Airpark|||Houston, TX|Houston, TX
AAQ|AAQ|Витязево|Витязево|Vityazevo|Vityazevo|Анапа|Анапа|Anapa|Anapa
AAR|AAR|||Aarhus Airport|Aarhus Airport|Аарус|Аарус|Aarhus|Aarhus
AAS|AAS|||Apalapsili|Apalapsili|||Apalapsili|Apalapsili
AAT|AAT|Алтай|Алтай|Altay|Altay|Алтай|Алтай|Altay|Altay
AAU|AAU|Асау|Асау|Asau|Asau|Асау|Асау|Asau|Asau
AAV|AAV|||Allah Valley|Allah Valley|||Surallah|Surallah
AAW|AAW|||Abbottabad|Abbottabad|||Abbottabad|Abbottabad
AAX|AAX|||Araxa|Araxa|||Araxa|Araxa
AAY|AAY|Аль-Гайда|Аль-Гайда|Al Ghaydah|Al Ghaydah|Аль-Гайда|Аль-Гайда|Al Ghaydah|Al Ghaydah
AAZ|AAZ|||Ambriz|Ambriz|||Ambriz|Ambriz
ABA|ABA|Абакан|Абакан|Abakan|Abakan|Абакан|Абакан|Abakan|Abakan
ABB|ABB|||RAF Station|RAF Station|Абингдон|Абингдон|Abingdon|Abingdon
ABC|ABC|||Los Llanos|Los Llanos|Албасет|Албасет|Albacete|Albacete
ABD|ABD|Абадан|Абадан|Abadan|Abadan|Абадан|Абадан|Abadan|Abadan
ABF|ABF|Абайянг|Абайянг|Abaiang|Abaiang|Абайянг|Абайянг|Abaiang|Abaiang
ABG|ABG|Абингдон|Абингдон|Abingdon|Abingdon|Абингдон|Абингдон|Abingdon|Abingdon
ABH|ABH|Альфа|Альфа|Alpha|Alpha|||Alpha|Alpha
ABI|ABI|||Municipal|Municipal|||Abilene|Abilene
ABJ|ABJ|||Felix Houphouet Boigny|Felix Houphouet Boigny|Абиджан|Абиджан|Abidjan|Abidjan
ABK|ABK|Кабри-Дар|Кабри-Дар|Kabri Dar|Kabri Dar|Кабри-Дар|Кабри-Дар|Kabri Dar|Kabri Dar
ABL|ABL|Амблер|Амблер|Ambler|Ambler|||Ambler|Ambler
ABM|ABM|||Bamaga Injinoo|Bamaga Injinoo|||Bamaga, Queensland|Bamaga, Queensland
ABN|ABN|Альбина|Альбина|Albina|Albina|Альбина|Альбина|Albina|Albina
ABO|ABO|||Aboisso|Aboisso|||Aboisso|Aboisso
ABP|ABP|Аткамба|Аткамба|Atkamba|Atkamba|Аткамба|Аткамба|Atkamba|Atkamba
ABQ|ABQ|||Albuquerque International|Albuquerque International|Альбукерк|Альбукерк|Albuquerque|Albuquerque
ABR|ABR|||Municipal|Municipal|||Aberdeen|Aberdeen
ABS|ABS|Абу-Симбель|Абу-Симбель|Abu Simbel|Abu Simbel|Абу-Симбель|Абу-Симбель|Abu Simbel|Abu Simbel
ABT|ABT|||Al-Aqiq|Al-Aqiq|||Al-Baha|Al-Baha
ABU|ABU|||Atambua|Atambua|||Atambua|Atambua
ABV|ABV|||Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Абуджа|Абуджа|Abuja|Abuja
ABW|ABW|Абау|Абау|Abau|Abau|Абау|Абау|Abau|Abau
ABX|ABX|Элбери|Элбери|Albury|Albury|Элбери|Элбери|Albury|Albury
ABY|ABY|||Dougherty County|Dougherty County|Олбани|Олбани|Albany|Albany
ABZ|ABZ|||Dyce|Dyce|||Aberdeen|Aberdeen
ACB|ACB|||Antrim County|Antrim County|||Bellaire|Bellaire
ACC|ACC|Котока|Котока|Kotoka|Kotoka|||Accra|Accra
ACD|ACD|Аканди|Аканди|Acandi|Acandi|Аканди|Аканди|Acandi|Acandi
